ussid,slaveid,isallocated
100001301018455002,100001-W208,YES
100001301021010005,100001-W160,YES
100001301019160005,100001-W271,YES
1286288908018477369,128628-WHBH01,YES
1268248903496133097,126824-1,YES
1268248903496064834,126824-1,YES
1268248903496097344,126824-1,YES
1268248903496195330,126824-1,YES
1268248903496115383,126824-1,YES
1268248903496273083,126824-1,YES
1268248903496273106,126824-1,YES
1268248903496127317,126824-1,YES
1268248903496143041,126824-1,YES
1246628903496153415,124662-BCLS1,YES
1268248903496097368,126824-1,YES
1246628903496199673,124662-BCLS1,YES
1268248903496267112,126824-1,YES
1246628903496199901,124662-BCLS1,YES
1268248903496183801,126824-1,YES
1246628903496202885,124662-BCLS1,YES
1268248903496127324,126824-1,YES
1268248903496115390,126824-1,YES
1246628903496097344,124662-BCLS1,YES
1246628903496238402,124662-BCLS1,YES
1268248903496224764,126824-1,YES
1276534067887381222,127653-8713,YES
1246628903496199970,124662-BCLS1,YES
128390KA033638,128390-BENGALURU,YES
1246628903496199666,124662-BCLS1,YES
127532PL1404XXL,127532-KL,YES
127965A1SS0101GBKBK0008,127965-1036,YES
1268248903496184303,126824-1,YES
1246628903496206531,124662-BCLS1,YES
1246628903496202861,124662-BCLS1,YES
1246628903496269727,124662-BCLS1,YES
127532PL1404L,127532-KL,YES
1268248903496171761,126824-1,YES
100001301024190001,100001-W014,YES
100001301002512001,100001-W067,YES
100001301023388005,100001-W160,YES
100001301023391006,100001-W172,YES
100001301021408003,100001-W276,YES
100001301025282004,100001-W172,YES
100001301019992003,100001-W099,YES
100001301025282004,100001-W060,YES
1246628903496096903,124662-BCLS1,YES
100001301002512001,100001-W016,YES
100001301023388005,100001-W152,YES
1246628903496267112,124662-BCLS1,YES
100001301024190001,100001-W105,YES
100001301023391006,100001-W096,YES
100001301022151005,100001-W238,YES
100001301021408003,100001-W168,YES
1246628903496096897,124662-BCLS1,YES
1268248903496182026,126824-1,YES
1268248903496267105,126824-1,YES
100001301005567001,100001-W167,YES
1268248903496171501,126824-1,YES
1268248903496164305,126824-1,YES
100001301025282004,100001-W016,YES
100001301019992003,100001-W091,YES
100001301022151005,100001-W218,YES
1246628903496277203,124662-BCLS1,YES
127965A1SD0747GWHBK000694900,127965-1036,YES
1268248903496267341,126824-1,YES
1246218909044968807,124621-P083,YES
1246628903496179248,124662-BCLS1,YES
1268248903496267099,126824-1,YES
1246628903496200522,124662-BCLS1,YES
1268248903496147209,126824-1,YES
1246218909044968807,124621-P379,YES
1246218909044804525,124621-PTBD,YES
1268248903496240177,126824-1,YES
1246218909044592125,124621-PTBHD,YES
100001301025282004,100001-W021,YES
1246628903496097351,124662-BCLS1,YES
1246218905807972845,124621-P030,YES
100001301005567001,100001-WD16,YES
1268248903496133349,126824-1,YES
1246628903496134100,124662-BCLS1,YES
127965A1SF0204GGYBK0010,127965-1036,YES
1246628903496115383,124662-BCLS1,YES
1246218909044592125,124621-PTKOL,YES
1268248903496110524,126824-1,YES
1246628903496273137,124662-BCLS1,YES
1268248903496267273,126824-1,YES
1268248903496195934,126824-1,YES
1246628903496197501,124662-BCLS1,YES
1246628903496206371,124662-BCLS1,YES
1246628903496138245,124662-BCLS1,YES
1246218909044804525,124621-PTBHD,YES
1268248903496176179,126824-1,YES
1246628903496197518,124662-BCLS1,YES
1268248903496206364,126824-1,YES
1246628903496224399,124662-BCLS1,YES
1268248903496267297,126824-1,YES
1268248903496194340,126824-1,YES
1276534066759203433,127653-8713,YES
1268248903496097337,126824-1,YES
1268248903496215380,126824-1,YES
1268248903496148596,126824-1,YES
1268248903496133080,126824-1,YES
1268248903496177886,126824-1,YES
1268248903496230703,126824-1,YES
1246218909044901507,124621-PTBHD,YES
1268248903496133356,126824-1,YES
127965A1SF0617GNBRD0008,127965-1036,YES
1246218905807114269,124621-PTBD,YES
1246218905807588473,124621-P045,YES
127965A1SF0617GGYPG0008,127965-1036,YES
1276534067902722658,127653-8713,YES
1276534067902593364,127653-8713,YES
125928773602069989,125928-TD37,YES
1277548907833006600,127754-FABFBWH,YES
125928773602558544,125928-TD37,YES
1289838904446631519,128983-NNVH,YES
127965A1SC0855GBKGO0008,127965-1036,YES
1246628903496183801,124662-BCLS1,YES
1241304067978499874,124130-562107B,YES
1241304064536927275,124130-562107B,YES
1241304065452341411,124130-562107B,YES
1241304065453953347,124130-562107B,YES
1241304067981640522,124130-562107B,YES
1241304067979212489,124130-562107B,YES
1241304064536926278,124130-562107B,YES
1241304067982646523,124130-562107B,YES
1241304099683457702,124130-562107B,YES
1253814067981509706,125381-1412106,YES
1253814067983288081,125381-1412106,YES
1241304067982915674,124130-562107B,YES
1241304067984812810,124130-562107B,YES
1241304067981302482,124130-562107B,YES
1253814067981247127,125381-1412106,YES
1280471378573001OSFM,128047-UWH,YES
128648OGD6194124OLIVEGREEN44,128648-3955,YES
1241304067981845880,124130-562107A,YES
1241304069156000384,124130-562107A,YES
1241304067978134553,124130-562107A,YES
1241304067984997418,124130-562107A,YES
1241304067984596543,124130-562107A,YES
1241304067984596321,124130-562107A,YES
1241304067982761172,124130-562107A,YES
1241304067981881123,124130-562107A,YES
1241304067978626997,124130-562107A,YES
1241304067983490446,124130-562107A,YES
1241304067978397859,124130-562107A,YES
1241304069157825009,124130-562107A,YES
1241304067984997128,124130-562107A,YES
1241304069159471440,124130-562107A,YES
1241304069159184203,124130-562107A,YES
1241304069156166745,124130-562107A,YES
1241304067984943194,124130-562107A,YES
1241304067984596932,124130-562107A,YES
1241304067983350276,124130-562107A,YES
1241304067984999917,124130-562107A,YES
1241304069159114675,124130-562107A,YES
1241304099684517863,124130-562107A,YES
1241304067981084517,124130-562107A,YES
1241304059504797646,124130-562107A,YES
1241304067984596536,124130-562107A,YES
1241304067982761271,124130-562107A,YES
1241304067982916190,124130-562107A,YES
1241304067983477171,124130-562107A,YES
1241304063697370678,124130-562107A,YES
1241304099684055136,124130-562107A,YES
1241304056204922408,124130-562107A,YES
1241304067984560667,124130-562107A,YES
124020ES5264,124020-3823,YES
1241304065454784476,124130-562107A,YES
1241304067983348204,124130-562107A,YES
1241304069159114477,124130-562107A,YES
1241304067984996886,124130-562107A,YES
1241304067982630089,124130-562107A,YES
1241304067982628796,124130-562107A,YES
1241304067982766542,124130-562107A,YES
1241304067982301873,124130-562107A,YES
1241304065453480812,124130-562107A,YES
1241304064533004825,124130-562107A,YES
1241304069159189031,124130-562107A,YES
1241304067982630508,124130-562107A,YES
1241304069156322226,124130-562107A,YES
1241304067983490439,124130-562107A,YES
1241304067984996282,124130-562107A,YES
1241304065453451058,124130-562107A,YES
1241304067984997647,124130-562107A,YES
1241304099684516903,124130-562107A,YES
1241304067982630065,124130-562107A,YES
1241304099685373253,124130-562107A,YES
1241304067983098741,124130-562107A,YES
1241304069159114651,124130-562107A,YES
1241304067984596949,124130-562107A,YES
1241304067982971571,124130-562107A,YES
