ussid,slaveid,isallocated
100001300484504001,100001-W238,YES
100001300619733006,100001-W138,YES
100001300621337002,100001-W238,YES
100001300621337003,100001-W276,YES
100001300621338002,100001-W218,YES
100001300621344003,100001-W238,YES
100001300621345002,100001-W255,YES
100001300621345002,100001-W238,YES
100001300621345004,100001-W311,YES
100001300621351002,100001-W238,YES
100001300621351002,100001-W238,YES
100001300621351002,100001-W238,YES
100001300621351002,100001-W218,YES
100001300621351002,100001-W017,YES
100001300621351004,100001-W042,YES
100001300621351004,100001-W276,YES
100001300674890004,100001-W020,YES
100001300699861005,100001-W157,YES
100001300706366004,100001-W086,YES
100001300706371004,100001-W138,YES
100001300712764002,100001-W051,YES
100001300712764002,100001-W160,YES
100001300712764003,100001-W167,YES
100001300712764008,100001-W114,YES
100001300712764026,100001-W051,YES
100001300713817001,100001-W030,YES
100001300721130003,100001-W160,YES
100001300721130003,100001-W007,YES
100001300724254003,100001-W067,YES
100001300724264004,100001-W255,YES
100001300724273005,100001-W067,YES
100001300729628004,100001-W238,YES
100001300732284003,100001-W173,YES
100001300732285002,100001-W021,YES
100001300732285003,100001-W281,YES
100001300732285004,100001-W018,YES
100001300732285005,100001-WD48,YES
100001300732286001,100001-W230,YES
100001300732286003,100001-W152,YES
100001300732286004,100001-W018,YES
100001300732286005,100001-W088,YES
100001300732290005,100001-WD27,YES
100001300732293004,100001-W230,YES
100001300732293005,100001-W006,YES
100001300737125003,100001-W042,YES
100001300737125003,100001-W033,YES
100001300739764003,100001-W004,YES
100001300759372001,100001-W089,YES
100001300766063001,100001-W042,YES
100001300770273005,100001-W067,YES
100001300770277001,100001-W163,YES
100001300772525008,100001-WD27,YES
100001300773237001,100001-W147,YES
100001300773249001,100001-W126,YES
100001300775143001,100001-W125,YES
100001300781276001,100001-W132,YES
100001300781319001,100001-W027,YES
100001300782476001,100001-W012,YES
100001300783017003,100001-W022,YES
100001300784126001,100001-W029,YES
100001300784126001,100001-W051,YES
100001300784160009,100001-W167,YES
100001300785014002,100001-W092,YES
100001300785014004,100001-W271,YES
100001300785014005,100001-W019,YES
100001300785747002,100001-W186,YES
100001300791896004,100001-W168,YES
100001300793384002,100001-W008,YES
100001300794472037,100001-W021,YES
100001300795948003,100001-W140,YES
100001300796730003,100001-W021,YES
100001300796730004,100001-W175,YES
100001300800220001,100001-W036,YES
100001300804743001,100001-W186,YES
100001300807416001,100001-W007,YES
100001300810418003,100001-W099,YES
100001300810418003,100001-W160,YES
100001300810421004,100001-W036,YES
100001300810422002,100001-W017,YES
100001300810516002,100001-W008,YES
100001300810517002,100001-W008,YES
100001300810774001,100001-W140,YES
100001300810774001,100001-W092,YES
100001300811327001,100001-W111,YES
100001300811327001,100001-W042,YES
100001300815841001,100001-WD04,YES
100001300816946012,100001-W020,YES
100001300817963003,100001-W086,YES
100001300818164004,100001-WD27,YES
100001300818164004,100001-WD27,YES
100001300820220003,100001-W132,YES
100001300820886001,100001-W095,YES
100001300820888001,100001-W084,YES
100001300822889001,100001-W029,YES
100001300826567002,100001-W160,YES
100001300826567005,100001-W126,YES
100001300826567006,100001-W160,YES
100001300826567010,100001-W167,YES
100001300826567011,100001-W160,YES
100001300826567012,100001-W160,YES
100001300826567021,100001-W089,YES
100001300826567023,100001-W089,YES
100001300826567024,100001-W051,YES
100001300826567024,100001-W160,YES
100001300827293003,100001-W005,YES
100001300828396002,100001-W143,YES
100001300828465004,100001-WD04,YES
100001300828784001,100001-W143,YES
100001300829505001,100001-W160,YES
100001300829506001,100001-W051,YES
100001300831730017,100001-W016,YES
100001300831730019,100001-W116,YES
100001300831730021,100001-W230,YES
100001300832077002,100001-W042,YES
100001300833491006,100001-W050,YES
100001300833523002,100001-WD04,YES
100001300833776003,100001-W033,YES
100001300834095001,100001-W099,YES
100001300834095001,100001-W094,YES
100001300834232001,100001-W020,YES
100001300834797001,100001-WD04,YES
100001300834840005,100001-W118,YES
100001300835301008,100001-WD16,YES
100001300835327001,100001-W111,YES
100001300835359,100001-M005,YES
100001300835713001,100001-W051,YES
100001300835716001,100001-W160,YES
100001300835716001,100001-W018,YES
100001300835717001,100001-W186,YES
